"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-9939","PG","Patty","Patty Mills","Mills","18.524242054332387","33","4400","SA@MIL","SA","MIL","","","","",""
"42354-84703","PG","De'Anthony","De'Anthony Melton","Melton","19.65416717529297","24","4400","MEM@LAC","MEM","LAC","","","","",""
"42354-14559","PG","Isaiah","Isaiah Thomas","Thomas","22.333333333333332","24","4400","DEN@WAS","WAS","DEN","","","","",""
"42354-84714","C","Moritz","Moritz Wagner","Wagner","22.828571137927828","21","4400","DEN@WAS","WAS","DEN","O","Ankle","","",""
"42354-110326","PG","Coby","Coby White","White","20.285714285714285","35","4400","BOS@CHI","CHI","BOS","","","","",""
"42354-15814","C","Alex","Alex Len","Len","19.440624237060547","32","4400","IND@ATL","ATL","IND","","","","",""
"42354-15946","SF","Harrison","Harrison Barnes","Barnes","25.740000697544644","35","4300","NO@SAC","SAC","NO","","","","",""
"42354-116340","SG","Terence","Terence Davis","Davis","14.502857317243304","35","4300","TOR@BKN","TOR","BKN","","","","",""
"42354-81529","PF","Daniel","Daniel Theis","Theis","21.642857142857142","28","4300","BOS@CHI","BOS","CHI","","","","",""
"42354-63126","SF","Cedi","Cedi Osman","Osman","19.997059541590072","34","4300","OKC@CLE","CLE","OKC","","","","",""
"42354-84681","SG","Donte","Donte DiVincenzo","DiVincenzo","21.139393199573863","33","4300","SA@MIL","MIL","SA","O","Rest","","",""
"42354-110338","SF","De'Andre","De'Andre Hunter","Hunter","21.17575720584754","33","4300","IND@ATL","ATL","IND","","","","",""
"42354-11074","SG","Garrett","Garrett Temple","Temple","21.431249618530273","32","4300","TOR@BKN","BKN","TOR","GTD","Knee","","",""
"42354-40396","PG","Monte","Monte Morris","Morris","15.988234576056986","34","4300","DEN@WAS","DEN","WAS","","","","",""
"42354-18393","PG","T.J.","T.J. McConnell","McConnell","19.23333370324337","33","4300","IND@ATL","IND","ATL","","","","",""
"42354-84713","SG","Svi","Svi Mykhailiuk","Mykhailiuk","11.196666463216145","30","4200","DET@GS","DET","GS","","","","",""
"42354-110345","SF","Kevin","Kevin Porter","Porter","16.830303770123106","33","4200","OKC@CLE","CLE","OKC","","","","",""
"42354-58658","SG","Patrick","Patrick McCaw","McCaw","14.307143075125557","14","4200","TOR@BKN","TOR","BKN","","","","",""
"42354-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","19.694116928998163","34","4200","CHA@DAL","DAL","CHA","","","","",""
"42354-20992","PF","Larry","Larry Nance","Nance","21.60967820690524","31","4100","OKC@CLE","CLE","OKC","O","Knee","","",""
"42354-84682","PF","Michael","Michael Porter","Porter","10.924000244140625","25","4100","DEN@WAS","DEN","WAS","","","","",""
